region,product_id,sales,rn
Central,TEC-CO-10004722,16975.00,1
Central,TEC-MA-10000822,13770.00,2
Central,OFF-BI-10001120,11056.50,3
Central,OFF-BI-10000545,10132.70,4
Central,OFF-BI-10004995,8416.10,5
East,TEC-CO-10004722,29099.00,1
East,TEC-MA-10001047,13767.00,2
East,FUR-BO-10004834,11274.10,3
East,OFF-BI-10001359,8463.60,4
East,TEC-CO-10001449,8316.00,5
South,TEC-MA-10002412,21734.40,1
South,TEC-MA-10001127,11116.40,2
South,OFF-BI-10001359,8053.20,3
South,TEC-MA-10004125,7840.00,4
South,OFF-BI-10003527,7391.40,5
West,TEC-CO-10004722,13440.00,1
West,OFF-SU-10000151,12592.30,2
West,FUR-CH-10001215,9604.00,3
West,OFF-BI-10003527,7804.80,4
West,TEC-AC-10003832,7722.70,5
